transition,k,singular_value,normalized
L25_to_L26,39,2.1051862239837646,0.6081019043922424
L25_to_L26,40,2.100754499435425,0.6068217754364014
L25_to_L26,41,2.0918972492218018,0.6042632460594177
L25_to_L26,42,2.0884172916412354,0.6032580137252808
L25_to_L26,43,2.08392071723938,0.6019591689109802
L25_to_L26,44,2.0804250240325928,0.6009494066238403
L25_to_L26,45,2.072695732116699,0.5987167358398438
L25_to_L26,46,2.0631091594696045,0.5959475636482239
L25_to_L26,47,2.0610668659210205,0.5953576564788818
L25_to_L26,48,2.0540266036987305,0.5933240056037903
L25_to_L26,49,2.0514116287231445,0.5925686359405518
L25_to_L26,50,2.0442121028900146,0.5904889702796936
L25_to_L26,51,2.0433359146118164,0.5902358889579773
L25_to_L26,52,2.042508363723755,0.5899968147277832
L25_to_L26,53,2.0331170558929443,0.5872840881347656
L25_to_L26,54,2.029695510864258,0.5862957239151001
L25_to_L26,55,2.0266146659851074,0.5854058265686035
L25_to_L26,56,2.0228970050811768,0.5843319296836853
L25_to_L26,57,2.0206408500671387,0.5836802124977112
L25_to_L26,58,2.017653226852417,0.5828171968460083
L25_to_L26,59,2.014644145965576,0.5819479823112488
L25_to_L26,60,2.0086262226104736,0.5802096724510193
L25_to_L26,61,2.0024585723876953,0.5784280896186829
L25_to_L26,62,1.9997384548187256,0.5776423811912537
L25_to_L26,63,1.9977052211761475,0.577055037021637
L25_to_L26,64,1.9958536624908447,0.5765202045440674
L25_to_L26,65,1.991024374961853,0.5751252174377441
L25_to_L26,66,1.9851447343826294,0.5734268426895142
L25_to_L26,67,1.9841036796569824,0.5731261372566223
L25_to_L26,68,1.9813562631607056,0.572332501411438
L25_to_L26,69,1.9805325269699097,0.5720945596694946
L25_to_L26,70,1.973514437675476,0.5700673460960388
L25_to_L26,71,1.9709542989730835,0.5693278312683105
L25_to_L26,72,1.9677764177322388,0.5684098601341248
L25_to_L26,73,1.9657083749771118,0.5678125023841858
L25_to_L26,74,1.9650095701217651,0.5676106214523315
L25_to_L26,75,1.9627591371536255,0.5669605731964111
L25_to_L26,76,1.9559792280197144,0.5650021433830261
L25_to_L26,77,1.9527792930603027,0.5640777945518494
L25_to_L26,78,1.9503254890441895,0.5633689761161804
L25_to_L26,79,1.9456382989883423,0.5620150566101074
L25_to_L26,80,1.9450485706329346,0.5618447065353394
L25_to_L26,81,1.941037654876709,0.5606861114501953
L25_to_L26,82,1.9391952753067017,0.5601539015769958
L25_to_L26,83,1.9377504587173462,0.5597365498542786
L25_to_L26,84,1.9314305782318115,0.5579110383987427
L25_to_L26,85,1.9282227754592896,0.5569844245910645
L25_to_L26,86,1.9243488311767578,0.5558654069900513
L25_to_L26,87,1.923415184020996,0.5555956959724426
L25_to_L26,88,1.922774076461792,0.5554105043411255
L25_to_L26,89,1.9212805032730103,0.5549790859222412
L25_to_L26,90,1.919614553451538,0.5544978380203247
L25_to_L26,91,1.916524887084961,0.5536053776741028
L25_to_L26,92,1.9118659496307373,0.552259624004364
L25_to_L26,93,1.9104799032211304,0.5518592596054077
L25_to_L26,94,1.906792402267456,0.5507940649986267
L25_to_L26,95,1.9061603546142578,0.5506114959716797
L25_to_L26,96,1.9036346673965454,0.5498819351196289
L25_to_L26,97,1.8999974727630615,0.5488312840461731
L25_to_L26,98,1.8991663455963135,0.5485911965370178
L25_to_L26,99,1.8962335586547852,0.5477440357208252
L27_to_L28,0,2847.358642578125,1.0
