cluster,layer,mean_dh_norm_2,mean_delta_cos,n
4,11,1.2018343210220337,0.07317985594272614,507
4,12,1.3386783599853516,0.09711990505456924,507
4,13,1.5134696960449219,0.07528773695230484,507
4,14,1.638855218887329,0.064330093562603,507
4,15,1.8004683256149292,0.08612463623285294,507
4,16,1.9854403734207153,0.09047520160675049,507
4,17,2.181278944015503,0.0733414739370346,507
4,18,2.3588974475860596,0.06388794630765915,507
4,19,2.563455820083618,0.07950593531131744,507
4,20,2.950727939605713,0.08408652245998383,507
4,21,3.5068376064300537,0.08535077422857285,507
4,22,4.030564308166504,0.11335468292236328,507
4,23,4.814600944519043,0.11423683911561966,507
4,24,6.842788219451904,0.1382363885641098,507
4,25,12.323409080505371,0.2162219136953354,507
4,26,16.66290855407715,0.2875916361808777,507
4,27,31.65699005126953,0.41899624466896057,507
4,28,5181.4345703125,0.05682608485221863,507
4,29,1880511.5,0.013453752733767033,507
4,30,538879492096.0,0.001435833633877337,507
4,31,538879492096.0,0.001435833633877337,507
5,0,0.15231874585151672,0.4912433326244354,113
5,1,0.16262412071228027,0.28838300704956055,113
5,2,0.1803162395954132,0.19052313268184662,113
5,3,0.18473540246486664,0.25131791830062866,113
5,4,0.22225415706634521,0.14849907159805298,113
5,5,0.2580578029155731,0.09351734071969986,113
5,6,0.3229769468307495,0.05788002908229828,113
5,7,0.3856322467327118,0.018172340467572212,113
5,8,0.4313165843486786,0.015406330116093159,113
5,9,0.5206599831581116,0.012415692210197449,113
5,10,0.5341354012489319,0.01119861751794815,113
5,11,0.5533201694488525,0.008085799403488636,113
5,12,0.5690768361091614,0.007820745930075645,113
5,13,0.5894313454627991,0.006882321555167437,113
5,14,0.6083580851554871,0.00609743082895875,113
5,15,0.6482095122337341,0.00690432358533144,113
5,16,0.6784735321998596,0.0062536392360925674,113
5,17,0.6987124681472778,0.0065618110820651054,113
5,18,0.7203263640403748,0.005778895225375891,113
5,19,0.8179653882980347,0.007591146510094404,113
5,20,1.029038906097412,0.010870570316910744,113
5,21,1.2181355953216553,0.011919139884412289,113
5,22,1.5330321788787842,0.018139762803912163,113
5,23,1.532674789428711,0.013512197881937027,113
5,24,2.104963779449463,0.021900616586208344,113
5,25,3.692178964614868,0.03272780776023865,113
5,26,6.29036808013916,0.06197715178132057,113
5,27,15.108142852783203,0.15753066539764404,113
5,28,6516.51220703125,0.2728228271007538,113
5,29,9737069.0,0.23198436200618744,113
5,30,2438009192448.0,0.03477025777101517,113
5,31,2438009192448.0,0.03477025777101517,113
6,0,0.16679619252681732,0.6343024969100952,1407
6,1,0.19857749342918396,0.4136918783187866,1407
6,2,0.2404990792274475,0.29889604449272156,1407
6,3,0.29195109009742737,0.49668067693710327,1407
6,4,0.49827292561531067,0.5494605898857117,1407
6,5,0.7042345404624939,0.49135375022888184,1407
6,6,1.3075836896896362,0.5577507019042969,1407
6,7,2.0469772815704346,0.45035701990127563,1407
6,8,2.3607466220855713,0.4393669664859772,1407
6,9,2.782660961151123,0.3645043969154358,1407
6,10,3.3556220531463623,0.4256168305873871,1407
6,11,3.928757429122925,0.3995659053325653,1407
6,12,4.215062141418457,0.42468497157096863,1407
6,13,4.593114376068115,0.40408387780189514,1407
6,14,4.827733993530273,0.3637722134590149,1407
6,15,5.012829303741455,0.3993759751319885,1407
6,16,5.223133563995361,0.35126882791519165,1407
6,17,5.473804473876953,0.3577612638473511,1407
6,18,5.656075477600098,0.3025921881198883,1407
6,19,5.881012916564941,0.3414454162120819,1407
6,20,6.188974380493164,0.3666495084762573,1407
6,21,6.702110290527344,0.33334773778915405,1407
6,22,7.29971170425415,0.3898000419139862,1407
6,23,8.23332405090332,0.34226709604263306,1407
6,24,9.516765594482422,0.3308645486831665,1407
6,25,13.907151222229004,0.3380424678325653,1407
6,26,20.234403610229492,0.45352017879486084,1407
